photon_energy,axion_mass,flux
8.189189189189188811e-01,0.000000000000000000e+00,1.755746319120133903e+00
8.378378378378378288e-01,0.000000000000000000e+00,1.832896977732816568e+00
8.567567567567566655e-01,0.000000000000000000e+00,1.910755471140677564e+00
8.756756756756757243e-01,0.000000000000000000e+00,1.989258130250550760e+00
8.945945945945945610e-01,0.000000000000000000e+00,2.068342616493783481e+00
9.135135135135135087e-01,0.000000000000000000e+00,2.147947942964432588e+00
9.324324324324323454e-01,0.000000000000000000e+00,2.228014490246519763e+00
9.513513513513512931e-01,0.000000000000000000e+00,2.308484017551049483e+00
9.702702702702702409e-01,0.000000000000000000e+00,2.389299669718567110e+00
9.891891891891891886e-01,0.000000000000000000e+00,2.470405980578231464e+00
1.008108108108108025e+00,0.000000000000000000e+00,2.551748873103333537e+00
1.027027027027026973e+00,0.000000000000000000e+00,2.633275656751723037e+00
1.045945945945945921e+00,0.000000000000000000e+00,2.714935022338484494e+00
1.064864864864864868e+00,0.000000000000000000e+00,2.796677034747457657e+00
1.083783783783783816e+00,0.000000000000000000e+00,2.878453123755685183e+00
1.102702702702702764e+00,0.000000000000000000e+00,2.960216073212237564e+00
1.121621621621621490e+00,0.000000000000000000e+00,3.041920008787271534e+00
1.140540540540540437e+00,0.000000000000000000e+00,3.123520384481533796e+00
1.159459459459459385e+00,0.000000000000000000e+00,3.204973968065504053e+00
1.178378378378378333e+00,0.000000000000000000e+00,3.286238825597872282e+00
1.197297297297297058e+00,0.000000000000000000e+00,3.367274305156422454e+00
1.216216216216216228e+00,0.000000000000000000e+00,3.448041019898380188e+00
1.235135135135135176e+00,0.000000000000000000e+00,3.528500830554666123e+00
1.254054054054054124e+00,0.000000000000000000e+00,3.608616827449822484e+00
1.272972972972972849e+00,0.000000000000000000e+00,3.688353312129547756e+00
1.291891891891891797e+00,0.000000000000000000e+00,3.767675778667252562e+00
1.310810810810810745e+00,0.000000000000000000e+00,3.846550894714145574e+00
1.329729729729729693e+00,0.000000000000000000e+00,3.924946482348619092e+00
1.348648648648648640e+00,0.000000000000000000e+00,4.002831498774854779e+00
1.367567567567567366e+00,0.000000000000000000e+00,4.080176016915144643e+00
1.386486486486486314e+00,0.000000000000000000e+00,4.156951205934166005e+00
1.405405405405405483e+00,0.000000000000000000e+00,4.233129311729918243e+00
1.424324324324324431e+00,0.000000000000000000e+00,4.308683637421848012e+00
1.443243243243243157e+00,0.000000000000000000e+00,4.383588523862586683e+00
1.462162162162162105e+00,0.000000000000000000e+00,4.457819330197193786e+00
1.481081081081081052e+00,0.000000000000000000e+00,4.531352414490831038e+00
1.500000000000000000e+00,0.000000000000000000e+00,4.604165114443312667e+00
1.518918918918918726e+00,0.000000000000000000e+00,4.676235728206568965e+00
1.537837837837837673e+00,0.000000000000000000e+00,4.747543495319794360e+00
1.556756756756756621e+00,0.000000000000000000e+00,4.818068577774471173e+00
1.575675675675675569e+00,0.000000000000000000e+00,4.887792041221021400e+00
1.594594594594594517e+00,0.000000000000000000e+00,4.956695836326175275e+00
1.613513513513513464e+00,0.000000000000000000e+00,5.024762780290435771e+00
1.632432432432432412e+00,0.000000000000000000e+00,5.091976538532772878e+00
1.651351351351351360e+00,0.000000000000000000e+00,5.158321606549502114e+00
1.670270270270270307e+00,0.000000000000000000e+00,5.223783291953001395e+00
1.689189189189189033e+00,0.000000000000000000e+00,5.288347696695626432e+00
1.708108108108107981e+00,0.000000000000000000e+00,5.352001699483301067e+00
1.727027027027026929e+00,0.000000000000000000e+00,5.414732938382408101e+00
1.745945945945945876e+00,0.000000000000000000e+00,5.476529793623897469e+00
1.764864864864864602e+00,0.000000000000000000e+00,5.537381370607079134e+00
1.783783783783783550e+00,0.000000000000000000e+00,5.597277483105981055e+00
1.802702702702702720e+00,0.000000000000000000e+00,5.656208636680292834e+00
1.821621621621621667e+00,0.000000000000000000e+00,5.714166012292785091e+00
1.840540540540540393e+00,0.000000000000000000e+00,5.771141450134715356e+00
1.859459459459459341e+00,0.000000000000000000e+00,5.827127433660661993e+00
1.878378378378378288e+00,0.000000000000000000e+00,5.882117073833533105e+00
1.897297297297297236e+00,0.000000000000000000e+00,5.936104093580929053e+00
1.916216216216216184e+00,0.000000000000000000e+00,5.989082812463258243e+00
1.935135135135134909e+00,0.000000000000000000e+00,6.041048131554065392e+00
1.954054054054053857e+00,0.000000000000000000e+00,6.091995518532947074e+00
